TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating,ContinentId,RegionId,CountryId,CityId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,UserCityName,UserCityCountryId,AttractionCityName,AttractionCityCountryId,ContinentName,RegionName,RegionContinentId,CountryName,CountryRegionId,AttractionType,Season,UserAvgRating,UserVisitCount,AttractionAvgRating,AttractionVisitCount,VisitModePopularity,AttractionTypePopularity
5943,86600,2018,12,3,640,2,3,14,106,3551.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Asia,,,Singapore,14,Nature & Wildlife Areas,Winter,2.0,1,4.267085922109411,13198,15217,13251
5945,55496,2018,11,5,640,3,5,21,158,7264.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,Belgium,21,Nature & Wildlife Areas,Fall,3.0,1,4.267085922109411,13198,4525,13251
5947,64861,2018,8,2,640,4,4,15,109,4303.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Australia & Oceania,,,Australia,15,Nature & Wildlife Areas,Summer,4.0,1,4.267085922109411,13198,21620,13251
5949,54908,2018,10,4,640,5,1,4,22,107.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Africa,,,South Africa,4,Nature & Wildlife Areas,Fall,5.0,1,4.267085922109411,13198,10945,13251
5950,73137,2018,12,2,640,4,4,15,109,3915.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Australia & Oceania,,,Australia,15,Nature & Wildlife Areas,Winter,4.5,2,4.267085922109411,13198,21620,13251
5951,15887,2018,12,3,640,5,3,14,103,3407.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Asia,,,Malaysia,14,Nature & Wildlife Areas,Winter,5.0,1,4.267085922109411,13198,15217,13251
5954,53320,2018,12,2,640,5,4,16,115,5671.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Australia & Oceania,,,New Zealand,16,Nature & Wildlife Areas,Winter,4.5,2,4.267085922109411,13198,21620,13251
5955,38771,2018,12,2,640,4,5,21,159,7531.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,France,21,Nature & Wildlife Areas,Winter,4.0,1,4.267085922109411,13198,21620,13251
5956,13855,2018,12,3,640,5,4,15,109,535.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Australia & Oceania,,,Australia,15,Nature & Wildlife Areas,Winter,2.3333333333333335,3,4.267085922109411,13198,15217,13251
5957,3150,2018,12,2,640,3,5,21,163,426.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,United Kingdom,21,Nature & Wildlife Areas,Winter,3.6666666666666665,3,4.267085922109411,13198,21620,13251
